Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb,50,100,0,4_haul,5_haul,BSR,BWA,hard_hit,bat_consistency,pca_bat,Bowl_index,bowl_consistency,bowl_pca
STR Binny,0,63.0,39.0,5.0,4.0,157.5,19.0,17.0,0.0,134.0,1.0,7.444444444444445,28.0,16.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,51.0,67.0,1.3790465594623291,1.0921094014116859,-0.043397296248399775,2.0716279693304567,-1.1498145440744278,2.2504775719329566
CJ Jordan,0,3.0,4.0,0.0,0.0,60.0,14.0,28.0,0.0,258.0,11.0,8.89655172413793,54.0,22.0,9.0,11.0,2.0,0.0,0.0,8.0,1.0,0.0,14.0,21.5,-1.233506321295029,-0.6554548689128478,-0.7028206257428726,0.07831351889763744,-0.6367042082327078,-0.30138855839022943
Iqbal Abdulla,0,37.0,27.0,4.0,1.0,132.14285714285714,12.0,25.0,0.0,213.0,6.0,8.192307692307692,38.0,18.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,21.428571428571427,30.428571428571427,0.8399483459727155,0.6646504154460591,-0.2720967463481635,0.4632852729114354,-0.828783467452584,0.35287868499755953
BB Sran,0,4.0,4.0,0.0,0.0,80.0,20.0,49.3,0.0,413.0,14.0,8.210735586481114,111.0,38.0,14.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,19.719999999999995,27.533333333333335,-1.233506321295029,-0.35144769168961904,-0.6298258752895051,0.3505111197987195,0.026853650920692904,-0.5776088890236372
Mustafizur Rahman,0,0.0,0.0,0.0,0.0,0.0,23.0,61.0,1.0,421.0,17.0,6.790322580645161,143.0,32.0,10.0,10.0,0.0,0.0,0.0,16.0,0.0,0.0,20.333333333333332,23.38888888888889,-1.233506321295029,-1.6755961079631805,-0.9218048771029748,0.22873195635966473,2.0896925048061004,-1.0420747721372718
S Aravind,0,0.0,0.0,0.0,0.0,0.0,13.0,29.1,0.0,216.0,11.0,7.176079734219269,68.0,21.0,6.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,14.550000000000002,18.0,-1.233506321295029,-1.6310762284535025,-0.9218048771029748,-0.03655337023881561,0.9126739692458875,-0.5359155255009556
YS Chahal,0,0.0,0.0,0.0,0.0,0.0,18.0,49.1,0.0,401.0,21.0,8.003992015968064,105.0,33.0,15.0,12.0,1.0,0.0,0.0,13.0,1.0,0.0,13.390909090909092,18.227272727272727,-1.233506321295029,-1.65651615960189,-0.9218048771029748,-0.03910886088936575,1.643500172335183,-1.0702699384308767
RV Uthappa,0,394.0,289.0,45.0,8.0,135.86206896551724,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.888567282998304,0.7676833897956065,1.674588103531843,-1.0135876414016174,0.970383943685228,-0.6849071043545125
G Gambhir,0,501.0,411.0,54.0,6.0,121.60194174757282,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45746641705924795,0.5130190754802361,2.178768642678857,-1.0135876414016174,0.9717056000436932,-0.6849071043545125
MK Pandey,0,248.0,183.0,17.0,9.0,134.7826086956522,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.40722737193422953,0.7083217705441417,0.849973766012459,-1.0135876414016174,0.9704742784696603,-0.6849071043545125
SA Yadav,0,182.0,143.0,18.0,5.0,126.38888888888889,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.621083686650009,0.5720412422775798,0.48655307790717356,-1.0135876414016174,0.9712289437486176,-0.6849071043545125
Shakib Al Hasan,0,114.0,106.0,7.0,5.0,106.54205607476635,14.0,31.0,0.0,243.0,5.0,7.59375,61.0,19.0,9.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,31.0,40.5,0.06870072207312454,0.21996823096712698,0.04530914122633136,0.9316660786179217,-0.6373531145811189,0.6661901306774242
YK Pathan,0,361.0,248.0,33.0,13.0,144.97991967871485,23.0,6.0,0.0,33.0,1.0,4.714285714285714,14.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,18.0,16.5,0.9115616397016415,0.9101907781006258,1.5177752947952856,-0.049140574931468305,-1.4093531670182,0.1476533635514975
DR Smith,0,324.0,221.0,35.0,16.0,145.94594594594594,19.0,18.0,0.0,153.0,8.0,8.052631578947368,41.0,13.0,7.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,12.0,17.0,1.4339650884872586,0.9679238618365524,1.3648719440551145,-0.10230489889085241,-0.9667799686082748,-0.31176220362217116
BB McCullum,0,354.0,262.0,38.0,16.0,134.60076045627375,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1505723531603549,0.7600313640388441,1.47404740297986,-1.0135876414016174,0.9704896380173451,-0.6849071043545125
SK Raina,0,399.0,312.0,39.0,10.0,127.47603833865814,24.0,10.0,0.0,82.0,0.0,7.454545454545454,17.0,8.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,60.0,82.0,0.5842443518623803,0.6177362680210673,1.6531716246754182,2.662139081876566,-1.3963486853152138,2.9964325384182917
KD Karthik,0,335.0,266.0,38.0,3.0,125.46816479400749,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5495093775988814,0.5702021869552445,1.3040855197244756,-1.0135876414016174,0.9713178213533362,-0.6849071043545125
