,Name,Desc,Runs_Scored,Balls_Faced,4s_hit,6s_hit,SR,Team,Overs_Bowled,Maidens,Runs_Given,Wickets,Econ,Dots,4s_Given,6s_Given,Wd,Nb
16,YS Chahal,not out,0,4,0,0,0,2,4,0,26,0,6.5,10,3,0,0,0
17,STR Binny,DNB,0,0,0,0,0,1,,,,,,,,,,
18,S Gopal,DNB,0,0,0,0,0,1,4,0,16,4,4,10,0,0,0,0
19,IS Sodhi,DNB,0,0,0,0,0,1,4,0,31,1,7.75,6,3,0,0,0
20,JD Unadkat,DNB,0,0,0,0,0,1,3.2,0,27,2,8.1,8,5,0,0,0
21,B Laughlin,DNB,0,0,0,0,0,1,2,0,15,2,7.5,6,3,0,0,0
0,CA Lynn,b Tye,27,17,2,2,158.82,1,,,,,,,,,,
1,SP Narine,c †Rahul b Tye,75,36,9,4,208.33,1,4,0,44,1,11,6,2,4,0,0
2,RV Uthappa,c Sharma b Tye,24,17,2,1,141.17,1,,,,,,,,,,
3,AD Russell,c †Rahul b Tye,31,14,2,3,221.42,1,4,0,41,3,10.25,10,2,4,0,0
4,KD Karthik,c sub (DA Miller) b Sran,50,23,5,3,217.39,1,,,,,,,,,,
5,N Rana,c sub (DA Miller) b Sharma,11,4,1,1,275,1,,,,,,,,,,
6,Shubman Gill,not out,16,8,3,0,200,1,,,,,,,,,,
7,JPR Scantlebury Searles,not out,6,1,0,1,600,1,,,,,,,,,,
8,KL Rahul,b Narine,66,29,2,7,227.58,2,,,,,,,,,,
9,CH Gayle,c †Karthik b Russell,21,17,2,1,123.52,2,,,,,,,,,,
10,MA Agarwal,c Scantlebury0Searles b Russell,0,1,0,0,0,2,,,,,,,,,,
11,KK Nair,c Prasidh Krishna b Russell,3,6,0,0,50,2,,,,,,,,,,
12,AJ Finch,c Kuldeep Yadav b Scantlebury0Searles,34,20,0,3,170,2,,,,,,,,,,
13,AR Patel,c Scantlebury0Searles b Kuldeep Yadav,19,11,2,1,172.72,2,4,0,52,0,13,4,5,3,1,0
14,R Ashwin,lbw b Prasidh Krishna,45,22,4,3,204.54,2,2.4,0,36,0,13.5,3,4,2,1,0
15,AJ Tye,c †Karthik b Prasidh Krishna,14,10,1,1,140,2,4,0,41,4,10.25,7,4,2,2,0
16,BB Sran,not out,1,1,0,0,100,2,3,0,48,1,16,5,5,4,0,0
17,MM Sharma,not out,4,3,1,0,133.33,2,4,0,40,1,10,8,4,2,1,0
18,PP Chawla,DNB,0,0,0,0,0,1,2,0,16,0,8,1,1,0,0,0
19,Kuldeep Yadav,DNB,0,0,0,0,0,1,2,0,29,1,14.5,2,1,3,1,0
20,M Prasidh Krishna,DNB,0,0,0,0,0,1,4,0,31,2,7.75,10,3,1,2,0
21,Mujeeb Ur Rahman,DNB,0,0,0,0,0,2,2.2,0,28,0,12,4,2,2,0,0
22,JPR Scantlebury0Searles,,,,,,,1,4,0,52,1,13,4,3,4,3,0
0,AD Hales,b Southee,5,5,1,0,100,1,,,,,,,,,,
1,S Dhawan,c Southee b Mohammed Siraj,13,19,1,0,68.42,1,,,,,,,,,,
2,KS Williamson,c Mandeep Singh b Yadav,56,39,5,2,143.58,1,,,,,,,,,,
3,MK Pandey,c Kohli b Chahal,5,7,0,0,71.42,1,,,,,,,,,,
4,Shakib Al Hasan,c Yadav b Southee,35,32,5,0,109.37,1,4,0,36,2,9,7,4,1,0,0
5,YK Pathan,b Mohammed Siraj,12,7,2,0,171.42,1,,,,,,,,,,
6,WP Saha,b Mohammed Siraj,8,5,0,1,160,1,,,,,,,,,,
7,Rashid Khan,run out (Kohli/†Patel),1,3,0,0,33.33,1,4,0,31,1,7.75,12,2,2,2,0
8,B Kumar,not out,1,2,0,0,50,1,4,0,27,1,6.75,10,4,0,0,0
9,S Kaul,run out (Kohli/†Patel),1,1,0,0,100,1,4,0,25,1,6.25,6,2,0,0,0
10,Sandeep Sharma,lbw b Southee,0,1,0,0,0,1,4,0,20,1,5,10,1,0,1,0
11,M Vohra,b Sandeep Sharma,8,10,0,0,80,2,,,,,,,,,,
12,PA Patel,lbw b Shakib Al Hasan,20,13,4,0,153.84,2,,,,,,,,,,
13,V Kohli,c Pathan b Shakib Al Hasan,39,30,5,1,130,2,,,,,,,,,,
14,AB de Villiers,b Rashid Khan,5,8,0,0,62.5,2,,,,,,,,,,
15,MM Ali,c †Saha b Kaul,10,7,2,0,142.85,2,3,0,19,0,6.33,6,2,0,0,0
16,Mandeep Singh,not out,21,23,1,0,91.3,2,,,,,,,,,,
17,C de Grandhomme,b Kumar,33,29,1,2,113.79,2,1,0,8,0,8,2,1,0,1,0
18,TG Southee,DNB,0,0,0,0,0,2,4,0,30,3,7.5,8,4,0,1,0
19,UT Yadav,DNB,0,0,0,0,0,2,4,0,36,1,9,8,4,1,2,0
20,Mohammed Siraj,DNB,0,0,0,0,0,2,4,0,25,3,6.25,12,2,1,1,0
21,YS Chahal,DNB,0,0,0,0,0,2,4,0,25,1,6.25,9,1,1,0,1
0,KL Rahul,b Ngidi,7,11,1,0,63.63,1,,,,,,,,,,
1,CH Gayle,c †Dhoni b Ngidi,0,2,0,0,0,1,,,,,,,,,,
2,AJ Finch,c Raina b Chahar,4,6,1,0,66.66,1,,,,,,,,,,
3,MK Tiwary,c †Dhoni b Jadeja,35,30,3,1,116.66,1,,,,,,,,,,
4,DA Miller,b Bravo,24,22,1,1,109.09,1,,,,,,,,,,
5,KK Nair,c Chahar b Bravo,54,26,3,5,207.69,1,,,,,,,,,,
6,AR Patel,c Billings b Thakur,14,12,0,1,116.66,1,4,0,28,0,7,7,1,1,0,0
